train_loss,valid_loss
3.635591654509085e-06,4.2925498410113503e-07
3.506923805199828e-06,3.975065803236551e-07
3.5995162968011604e-06,8.912467487789399e-08
3.524422498608715e-06,2.549413452288718e-06
3.4405591362902516e-06,8.315504091645683e-08
3.43545638359141e-06,8.207200015992082e-06
3.7758560094564094e-06,3.0620266850261636e-05
3.402327997758903e-06,8.616409329685363e-07
2.8785587999891503e-06,4.6236825013086976e-08
3.065399380544894e-06,4.244863902385987e-07
3.0976033932480126e-06,8.938535215080871e-06
3.418151705059813e-06,1.4891215116676903e-07
2.543488591845744e-06,8.959572897583712e-06
3.4344063330839466e-06,9.901095838965072e-06
2.843036974805576e-06,1.1143749799202851e-07
2.9034300992047216e-06,1.2408908176742746e-07
2.917611047662187e-06,2.156832959978298e-06
2.930653867809004e-06,3.096820840073633e-06
3.0179849666865266e-06,9.98398943503768e-08
2.9055887335526147e-06,7.719731103861704e-06
3.0960235119541343e-06,1.358843546768185e-07
2.706596802673289e-06,1.0525325964166161e-05
2.824345794295861e-06,2.8838160110353784e-07
2.9915623640126417e-06,1.3307164517755155e-07
2.6964835850009195e-06,1.8095201641396366e-07
2.2028430393750872e-06,1.6599764363339393e-07
2.51052285444473e-06,1.0496827961105737e-06
2.541726141136754e-06,1.0815916291448957e-07
2.4205683833078714e-06,1.4850817433519599e-05
2.568826137360247e-06,4.579549057363389e-08
2.3020466448751146e-06,2.9839317210038037e-06
2.5720042982224336e-06,7.84818362929703e-06
2.401247204685338e-06,6.142336074693352e-08
2.439976742641174e-06,3.0116302878013812e-06
2.579642981499338e-06,6.662141668130062e-07
2.627870522841628e-06,4.7291178215876544e-08
2.1313056671653876e-06,5.447479716167436e-08
2.3566194699924382e-06,6.280700601640395e-08
2.415169298863873e-06,6.902137803263031e-06
2.5597030154794235e-06,6.529077056378204e-06
2.031291227004317e-06,1.4145339887666826e-06
2.526256526848177e-06,3.4528509768036504e-05
2.1623619519128093e-06,6.273362136804887e-07
2.238112228207001e-06,5.680705067788949e-07
2.5476068575959704e-06,2.1105263715526235e-08
2.1737553938104764e-06,2.1518382654524732e-08
2.262212407994942e-06,1.4217456848200526e-06
2.2250071768207627e-06,5.710986249406839e-08
2.5186928191805197e-06,1.4047196080961535e-06
2.124732022680102e-06,4.1043276382879414e-08
2.474966460436671e-06,2.4292644438143423e-08
1.968687577221336e-06,1.1965098150540143e-06
2.1962283623665256e-06,1.120297022377296e-06
2.2591294117286035e-06,3.177086453585313e-07
2.1983207026972687e-06,2.8892042041661624e-07
2.2271303040000136e-06,3.063226182196862e-07
2.1776367851690754e-06,1.3348429563241855e-05
2.146062763245027e-06,9.99253055306326e-07
2.201589005723766e-06,8.767658879757316e-08
2.1430379870319407e-06,1.7036410617947695e-07
2.180973677648505e-06,1.50009457509744e-07
2.1662479750645504e-06,1.4562847642688819e-07
2.173095367272045e-06,1.5178698750484424e-06
1.7432428689308684e-06,5.045798653857977e-07
1.9592756339974927e-06,1.0874977026105626e-06
1.9782294574530584e-06,2.773029215859424e-07
1.8868237748786024e-06,6.565747335419777e-07
1.9104292956095986e-06,1.799346036705174e-07
2.07521696240273e-06,7.023089467566024e-08
1.927901541745314e-06,2.6844135318053002e-08
2.043508057583665e-06,2.5485369698685646e-08
1.6899122318728625e-06,1.2444079868600966e-08
