train_loss,train_val_loss,train_grad_loss,valid_loss,valid_val_loss,valid_grad_loss
1.047566252914199e-05,2.1896018708304154e-06,8.286060658311575e-06,3.201814172789455e-05,1.7008854177159567e-05,1.5009287550734978e-05
1.1483136310909952e-05,2.1428471801101525e-06,9.3402891307998e-06,1.513860537428021e-06,2.5266415371637173e-07,1.2611963837116491e-06
1.0720367121781276e-05,2.1711744541344537e-06,8.549192667646821e-06,2.435581019813071e-06,1.858376982227128e-07,2.2497433215903584e-06
1.0185350908994906e-05,2.016384434059167e-06,8.168966474935739e-06,8.667414675771094e-06,7.126755261500269e-07,7.954739149621067e-06
1.0690144277532454e-05,2.0815850607353543e-06,8.608559216797099e-06,1.8365397795074995e-06,1.5546991548186877e-07,1.6810698640256306e-06
1.0102766180726044e-05,2.0400988744067186e-06,8.062667306319326e-06,1.3718740965305188e-05,1.2209429315286494e-06,1.2497798033776539e-05
1.0323500956027943e-05,2.16353049503842e-06,8.159970460989522e-06,1.6436283050037066e-05,1.6139392476664702e-06,1.4822343802370597e-05
9.931818154399252e-06,2.0054205638852333e-06,7.92639759051402e-06,4.153363524255838e-06,6.219822055754775e-07,3.53138131868036e-06
9.89662942281484e-06,1.9504081236467147e-06,7.946221299168125e-06,5.57662429970757e-06,1.7277154636758496e-06,3.8489088360317205e-06
9.315269306374792e-06,2.030230630186717e-06,7.285038676188075e-06,1.0092706910624353e-05,8.173728485113922e-07,9.27533406211296e-06
9.728298240275989e-06,2.031595299511461e-06,7.696702940764528e-06,5.2020921172091526e-06,7.080484352930701e-07,4.494043681916082e-06
9.110624054849836e-06,1.913845975785951e-06,7.196778079063885e-06,1.0542254671660583e-05,1.0535857793608254e-06,9.488668892299757e-06
9.04073519835625e-06,1.942414520479474e-06,7.0983206778767755e-06,1.0202190886502649e-06,3.7501683074575943e-07,6.452022579045054e-07
9.452752868277988e-06,2.0086795901931966e-06,7.444073278084792e-06,1.0108299504433186e-05,8.063168740591209e-07,9.301982630374065e-06
8.978049927987777e-06,1.9432999722056367e-06,7.0347499557821416e-06,1.8705448654933813e-05,1.2145815137652487e-06,1.7490867141168566e-05
9.338157244301707e-06,2.018717048211253e-06,7.319440196090454e-06,4.566898979986339e-05,2.8027627856014684e-06,4.286622701426192e-05
9.085011536053381e-06,1.8151987974259023e-06,7.269812738627479e-06,2.6563216446144604e-05,2.0364729183711462e-06,2.4526743527773457e-05
8.614749460120189e-06,1.8282164483290823e-06,6.786533011791107e-06,1.8189742694251737e-06,2.178348668091227e-07,1.601139402616051e-06
8.780073498794157e-06,1.9302649478921315e-06,6.849808550902026e-06,1.1494367684766377e-05,3.2743226835009407e-06,8.220045001265437e-06
8.600392485043547e-06,1.7932384194494943e-06,6.8071540655940525e-06,8.407268060515585e-06,5.335510358842536e-07,7.873717024631332e-06
9.110202031771073e-06,1.91751646642615e-06,7.192685565344922e-06,3.7547936337068676e-05,5.206175930410003e-06,3.2341760406658675e-05
8.220233197770692e-06,1.8290972695562384e-06,6.391135928214453e-06,6.3077469813379135e-06,5.9719929170872395e-06,3.3575406425067437e-07
8.469964706455358e-06,1.826700388141944e-06,6.643264318313413e-06,7.73709155734347e-06,8.616011952957099e-07,6.875490362047761e-06
8.717432376485589e-06,1.802254049373649e-06,6.915178327111941e-06,9.297046074667984e-06,3.7435871082076724e-06,5.5534589664603115e-06
8.153045650574124e-06,1.7729921568947778e-06,6.380053493679346e-06,6.129086214400559e-07,5.03209080504045e-07,1.0969954093601093e-07
7.986882721042812e-06,1.8285962174284501e-06,6.158286503614363e-06,1.6237150470791068e-06,1.259837858545628e-07,1.497731261224544e-06
8.369891135247087e-06,1.780860490876061e-06,6.589030644371026e-06,2.516768423023071e-06,1.4129138731732382e-06,1.1038545498498327e-06
8.308608191284843e-06,1.7482323325666015e-06,6.560375858718241e-06,1.3879769970420359e-06,9.808524058219821e-08,1.2898917564598378e-06
7.933284650822732e-06,1.7333127042689966e-06,6.1999719465537355e-06,2.600478449001761e-07,8.933411622820131e-08,1.7071372867197474e-07
8.48863955138815e-06,1.7107817130034657e-06,6.777857838384686e-06,7.998183959405954e-07,6.975582162264496e-08,7.300625743179504e-07
8.935724178454052e-06,1.6741625723938114e-06,7.261561606060241e-06,1.9307519180802045e-05,3.7154610837509e-06,1.5592058097051146e-05
7.74401093631146e-06,1.6377699968368612e-06,6.106240939474598e-06,1.1162387141231042e-07,1.5109174930216796e-08,9.651469648209362e-08
8.139784027268131e-06,1.6179583317750713e-06,6.521825695493059e-06,1.6415944293839858e-06,9.274003287525072e-07,7.141941006314786e-07
7.703414572162614e-06,1.6721379198799013e-06,6.031276652282713e-06,2.0558322504787915e-06,1.9429540585254776e-07,1.8615368446262438e-06
7.4165268312322984e-06,1.642489612980569e-06,5.77403721825173e-06,1.848723859105424e-06,1.761085981039893e-07,1.6726152610014347e-06
7.5881993513822485e-06,1.5994050124675142e-06,5.988794338914734e-06,2.295694524642992e-06,1.2496610837236707e-06,1.0460334409193213e-06
7.580651261409344e-06,1.5840196146361527e-06,5.996631646773191e-06,1.3448329570807498e-05,1.0424274501929177e-06,1.240590212061458e-05
7.528121372000859e-06,1.6598607700293162e-06,5.8682606019715425e-06,2.5991256474147423e-06,5.419757551104946e-07,2.0571498923042478e-06
7.387466704089244e-06,1.5954897556450001e-06,5.791976948444244e-06,5.717182582363117e-05,3.296898436989674e-06,5.38749273866415e-05
7.4005730859174904e-06,1.6329902287750997e-06,5.767582857142391e-06,3.7200141096946024e-06,4.990843504553292e-07,3.2209297592392733e-06
7.246381595600345e-06,1.57501016126389e-06,5.671371434336455e-06,4.6506765949061445e-07,7.977715740328979e-08,3.8529050208732465e-07
7.008801519885803e-06,1.593695578959379e-06,5.415105940926424e-06,3.2377117627523453e-06,2.1575168809552756e-06,1.0801948817970697e-06
7.1847354888025925e-06,1.6223707021576199e-06,5.562364786644973e-06,1.7778297502199317e-07,2.6185121509077665e-08,1.515978535129155e-07
7.231100000083757e-06,1.5545636112382985e-06,5.676536388845458e-06,4.6124206999744884e-06,3.738731078707739e-07,4.238547592103714e-06
7.089350925938712e-06,1.6225565683422853e-06,5.466794357596427e-06,2.082886135864707e-06,2.7662684580415466e-07,1.8062592900605524e-06
6.632526215418011e-06,1.5209791409896903e-06,5.11154707442832e-06,3.197714495715142e-05,2.8600395943309802e-06,2.911710536282044e-05
6.89853154608168e-06,1.5889233397449706e-06,5.3096082063367094e-06,8.598600462657184e-07,1.0094221888342266e-07,7.589178273822957e-07
6.903145508655465e-06,1.5079736997265059e-06,5.3951718089289595e-06,2.2085410977107738e-07,1.5749554682618812e-07,6.335856294488925e-08
6.886281499744958e-06,1.6011229258405517e-06,5.285158573904406e-06,2.418249183817049e-06,9.832966751370502e-07,1.4349525086799986e-06
6.635001668480337e-06,1.5169370820283727e-06,5.118064586451964e-06,1.677431977902112e-05,5.322222633549245e-06,1.1452097145471876e-05
6.5722382991661265e-06,1.5421112346757581e-06,5.030127064490368e-06,7.678078369068923e-06,9.441624472250017e-07,6.7339159218439214e-06
6.758894390011961e-06,1.4850311277039434e-06,5.273863262308017e-06,1.1565165067167981e-05,7.328151562433049e-07,1.0832349910924677e-05
