p,rho,theta,lamda
-1578.9473684210527,375.2589603287389,0.0,0.05263157894736842
-1578.9473684210527,382.319305850271,0.0,0.05789473684210526
-1578.9473684210527,388.89362951759523,0.0,0.06315789473684211
-1578.9473684210527,395.0512885368938,0.0,0.06842105263157895
-1578.9473684210527,400.8473672055878,0.0,0.07368421052631578
-1578.9473684210527,406.3263919320584,0.0,0.07894736842105263
-1578.9473684210527,411.52490266198544,0.0,0.08421052631578947
-1578.9473684210527,416.4732805914535,0.0,0.08947368421052632
-1578.9473684210527,421.1970773849354,0.0,0.09473684210526316
-1578.9473684210527,425.7180013957041,0.0,0.1
-1368.421052631579,176.7766952966368,0.0,0.0
-1368.421052631579,245.92423526717283,0.0,0.005263157894736842
-1368.421052631579,276.8502352251931,0.0,0.010526315789473684
-1368.421052631579,298.08096495675403,0.0,0.015789473684210527
-1368.421052631579,314.5677748448013,0.0,0.021052631578947368
-1368.421052631579,328.18376667028724,0.0,0.02631578947368421
-1368.421052631579,339.85557600093534,0.0,0.031578947368421054
-1368.421052631579,350.11442417309866,0.0,0.03684210526315789
-1368.421052631579,359.2951654821593,0.0,0.042105263157894736
-1368.421052631579,367.62342622444345,0.0,0.04736842105263158
-1368.421052631579,375.2589603287389,0.0,0.05263157894736842
-1368.421052631579,382.319305850271,0.0,0.05789473684210526
-1368.421052631579,388.89362951759523,0.0,0.06315789473684211
-1368.421052631579,395.0512885368938,0.0,0.06842105263157895
-1368.421052631579,400.8473672055878,0.0,0.07368421052631578
-1368.421052631579,406.3263919320584,0.0,0.07894736842105263
-1368.421052631579,411.52490266198544,0.0,0.08421052631578947
-1368.421052631579,416.4732805914535,0.0,0.08947368421052632
-1368.421052631579,421.1970773849354,0.0,0.09473684210526316
-1368.421052631579,425.7180013957041,0.0,0.1
-1157.8947368421054,176.7766952966368,0.0,0.0
-1157.8947368421054,245.92423526717283,0.0,0.005263157894736842
-1157.8947368421054,276.8502352251931,0.0,0.010526315789473684
-1157.8947368421054,298.08096495675403,0.0,0.015789473684210527
-1157.8947368421054,314.5677748448013,0.0,0.021052631578947368
-1157.8947368421054,328.18376667028747,0.0,0.02631578947368421
-1157.8947368421054,339.85557600093534,0.0,0.031578947368421054
-1157.8947368421054,350.1144241730989,0.0,0.03684210526315789
-1157.8947368421054,359.2951654821594,0.0,0.042105263157894736
-1157.8947368421054,367.6234262244432,0.0,0.04736842105263158
-1157.8947368421054,375.2589603287389,0.0,0.05263157894736842
-1157.8947368421054,382.319305850271,0.0,0.05789473684210526
-1157.8947368421054,388.893629517595,0.0,0.06315789473684211
-1157.8947368421054,395.0512885368938,0.0,0.06842105263157895
-1157.8947368421054,400.8473672055878,0.0,0.07368421052631578
-1157.8947368421054,406.3263919320584,0.0,0.07894736842105263
-1157.8947368421054,411.52490266198544,0.0,0.08421052631578947
-1157.8947368421054,416.4732805914535,0.0,0.08947368421052632
-1157.8947368421054,421.19707738493565,0.0,0.09473684210526316
-1157.8947368421054,425.7180013957041,0.0,0.1
-947.3684210526317,176.77669529663677,0.0,0.0
-947.3684210526317,245.92423526717283,0.0,0.005263157894736842
-947.3684210526317,276.8502352251931,0.0,0.010526315789473684
-947.3684210526317,298.08096495675403,0.0,0.015789473684210527
-947.3684210526317,314.5677748448013,0.0,0.021052631578947368
-947.3684210526317,328.1837666702874,0.0,0.02631578947368421
-947.3684210526317,339.85557600093534,0.0,0.031578947368421054
-947.3684210526317,350.11442417309894,0.0,0.03684210526315789
-947.3684210526317,359.2951654821594,0.0,0.042105263157894736
-947.3684210526317,367.6234262244432,0.0,0.04736842105263158
-947.3684210526317,375.2589603287389,0.0,0.05263157894736842
-947.3684210526317,382.31930585027095,0.0,0.05789473684210526
-947.3684210526317,388.8936295175952,0.0,0.06315789473684211
-947.3684210526317,395.0512885368938,0.0,0.06842105263157895
-947.3684210526317,400.84736720558783,0.0,0.07368421052631578
-947.3684210526317,406.32639193205836,0.0,0.07894736842105263
-947.3684210526317,411.52490266198555,0.0,0.08421052631578947
-947.3684210526317,416.4732805914535,0.0,0.08947368421052632
-947.3684210526317,421.1970773849357,0.0,0.09473684210526316
-947.3684210526317,425.7180013957041,0.0,0.1
-736.8421052631579,176.77669529663677,0.0,0.0
-736.8421052631579,245.92423526717283,0.0,0.005263157894736842
-736.8421052631579,276.8502352251931,0.0,0.010526315789473684
-736.8421052631579,298.08096495675403,0.0,0.015789473684210527
-736.8421052631579,314.5677748448013,0.0,0.021052631578947368
-736.8421052631579,328.18376667028735,0.0,0.02631578947368421
-736.8421052631579,339.8555760009353,0.0,0.031578947368421054
-736.8421052631579,350.1144241730989,0.0,0.03684210526315789
-736.8421052631579,359.29516548215946,0.0,0.042105263157894736
-736.8421052631579,367.62342622444334,0.0,0.04736842105263158
-736.8421052631579,375.2589603287389,0.0,0.05263157894736842
-736.8421052631579,382.31930585027095,0.0,0.05789473684210526
-736.8421052631579,388.8936295175952,0.0,0.06315789473684211
-736.8421052631579,395.0512885368938,0.0,0.06842105263157895
-736.8421052631579,400.84736720558783,0.0,0.07368421052631578
-736.8421052631579,406.32639193205836,0.0,0.07894736842105263
-736.8421052631579,411.52490266198555,0.0,0.08421052631578947
-736.8421052631579,416.4732805914535,0.0,0.08947368421052632
-736.8421052631579,421.1970773849357,0.0,0.09473684210526316
-736.8421052631579,425.7180013957041,0.0,0.1
-526.3157894736844,176.77669529663692,0.0,0.0
-526.3157894736844,245.92423526717295,0.0,0.005263157894736842
-526.3157894736844,276.8502352251931,0.0,0.010526315789473684
-526.3157894736844,298.080964956754,0.0,0.015789473684210527
-526.3157894736844,314.56777484480125,0.0,0.021052631578947368
-526.3157894736844,328.18376667028735,0.0,0.02631578947368421
-526.3157894736844,339.8555760009353,0.0,0.031578947368421054
-526.3157894736844,350.1144241730989,0.0,0.03684210526315789
