p,rho,theta,lamda
-1578.9473684210527,432.19230924052886,0.0,0.06315789473684211
-1578.9473684210527,439.03555034573196,0.0,0.06842105263157895
-1578.9473684210527,445.4769534293207,0.0,0.07368421052631578
-1578.9473684210527,451.5660023856042,0.0,0.07894736842105263
-1578.9473684210527,457.3433054485674,0.0,0.08421052631578947
-1578.9473684210527,462.84262639909184,0.0,0.08947368421052632
-1578.9473684210527,468.0923617755508,0.0,0.09473684210526316
-1578.9473684210527,473.11663689813054,0.0,0.1
-1368.421052631579,196.45867754361376,0.0,0.0
-1368.421052631579,273.3049735738131,0.0,0.005263157894736842
-1368.421052631579,307.6742157596756,0.0,0.010526315789473684
-1368.421052631579,331.2687347054526,0.0,0.015789473684210527
-1368.421052631579,349.59115476248337,0.0,0.021052631578947368
-1368.421052631579,364.72312531431976,0.0,0.02631578947368421
-1368.421052631579,377.694451776739,0.0,0.031578947368421054
-1368.421052631579,389.0955006629738,0.0,0.03684210526315789
-1368.421052631579,399.2984083110748,0.0,0.042105263157894736
-1368.421052631579,408.5539218216192,0.0,0.04736842105263158
-1368.421052631579,417.03958182308037,0.0,0.05263157894736842
-1368.421052631579,424.88601283500543,0.0,0.05789473684210526
-1368.421052631579,432.19230924052886,0.0,0.06315789473684211
-1368.421052631579,439.03555034573196,0.0,0.06842105263157895
-1368.421052631579,445.4769534293207,0.0,0.07368421052631578
-1368.421052631579,451.5660023856042,0.0,0.07894736842105263
-1368.421052631579,457.3433054485674,0.0,0.08421052631578947
-1368.421052631579,462.84262639909184,0.0,0.08947368421052632
-1368.421052631579,468.0923617755508,0.0,0.09473684210526316
-1368.421052631579,473.11663689813054,0.0,0.1
-1157.8947368421054,196.45867754361382,0.0,0.0
-1157.8947368421054,273.3049735738131,0.0,0.005263157894736842
-1157.8947368421054,307.6742157596756,0.0,0.010526315789473684
-1157.8947368421054,331.2687347054523,0.0,0.015789473684210527
-1157.8947368421054,349.59115476248337,0.0,0.021052631578947368
-1157.8947368421054,364.72312531431976,0.0,0.02631578947368421
-1157.8947368421054,377.69445177673884,0.0,0.031578947368421054
-1157.8947368421054,389.0955006629738,0.0,0.03684210526315789
-1157.8947368421054,399.2984083110745,0.0,0.042105263157894736
-1157.8947368421054,408.5539218216195,0.0,0.04736842105263158
-1157.8947368421054,417.03958182308037,0.0,0.05263157894736842
-1157.8947368421054,424.88601283500543,0.0,0.05789473684210526
-1157.8947368421054,432.19230924052886,0.0,0.06315789473684211
-1157.8947368421054,439.03555034573225,0.0,0.06842105263157895
-1157.8947368421054,445.476953429321,0.0,0.07368421052631578
-1157.8947368421054,451.5660023856042,0.0,0.07894736842105263
-1157.8947368421054,457.3433054485671,0.0,0.08421052631578947
-1157.8947368421054,462.84262639909167,0.0,0.08947368421052632
-1157.8947368421054,468.0923617755508,0.0,0.09473684210526316
-1157.8947368421054,473.11663689813054,0.0,0.1
-947.3684210526317,196.45867754361376,0.0,0.0
-947.3684210526317,273.3049735738131,0.0,0.005263157894736842
-947.3684210526317,307.6742157596756,0.0,0.010526315789473684
-947.3684210526317,331.2687347054524,0.0,0.015789473684210527
-947.3684210526317,349.5911547624834,0.0,0.021052631578947368
-947.3684210526317,364.72312531431976,0.0,0.02631578947368421
