train_loss,valid_loss
2.4138421548312768e-06,1.6201581436689594e-06
2.4047608306403847e-06,1.108920876239002e-07
2.408141861949768e-06,1.2204410721703122e-05
2.3611363087089405e-06,4.915674851508811e-06
2.4483083670354232e-06,4.1986025725767225e-08
2.363566881914873e-06,1.2040361280620951e-06
2.314930861741023e-06,1.5176707246666863e-08
2.339258066070234e-06,4.0042628127897237e-07
2.315701039927376e-06,9.849511799075117e-07
2.320927296518249e-06,3.557478510325988e-07
2.4721191924792645e-06,2.616227975280102e-06
2.2016649949530157e-06,7.066580355588788e-08
2.343230662448074e-06,5.6132960510997994e-08
2.244631725887795e-06,7.289495345711809e-09
2.2701943083388208e-06,1.8054780906823e-06
2.3454204259574377e-06,8.656651601294621e-09
2.1632750707977285e-06,4.2663371238935116e-06
2.2509260899158315e-06,1.9852301743715845e-06
2.4634424257397334e-06,7.221123356278743e-08
2.157735459657317e-06,3.6039048644549136e-06
2.214559084957557e-06,1.2040566649792101e-08
2.3546118112316585e-06,1.3302456884503044e-07
2.1162077035533855e-06,9.271353827292235e-08
2.1977705983916945e-06,2.9223693207313772e-06
2.184208248419613e-06,9.18635284760967e-06
2.1627259451124797e-06,1.1172409237284835e-06
2.2130192686113048e-06,1.131039143850406e-05
2.3396610732980607e-06,1.5701121331327765e-08
2.160373396066717e-06,1.0438625044647172e-08
2.1403470022967496e-06,5.225359732700478e-08
2.1681352679782627e-06,4.2685705423840166e-07
2.158463889272137e-06,9.051187627543792e-09
2.1228781845541295e-06,2.038782690457689e-06
2.123383118005743e-06,7.036592738434895e-08
1.8199058229789955e-06,2.652519674181046e-07
1.946246325772923e-06,7.947676818730542e-07
1.9358372528818297e-06,1.4017855416265471e-06
1.8658541230782552e-06,2.708316117453554e-07
1.9411143362394984e-06,1.9203274236663978e-08
1.968030578249132e-06,4.88643618837159e-08
1.9029035913618487e-06,6.811552782816458e-08
1.8907403754999072e-06,1.4105121440858663e-08
1.8114774067006086e-06,6.897662945508879e-06
1.918328155960817e-06,6.55686684816222e-07
1.8800945591503175e-06,8.474435721079014e-08
1.8412682541232072e-06,1.8994333873100306e-06
1.835453769922424e-06,1.384687965643631e-06
1.8749055365643605e-06,6.084835832117126e-09
1.8448696482937048e-06,1.0647136480353462e-06
1.8395813463830753e-06,2.948012862058628e-06
1.8344361551989152e-06,1.5554917976601247e-08
1.8600536987211314e-06,2.7563628909774706e-07
1.867904346423188e-06,2.824889309607291e-05
1.7996246308397208e-06,3.1148479297068358e-06
1.8376808404918658e-06,1.3660804451471146e-07
1.7775912826240395e-06,3.16388058896185e-08
1.8903839122110355e-06,4.688194522411019e-07
1.7660227509024887e-06,8.428213345249939e-09
1.8397889283111368e-06,1.6366074764088504e-07
1.817783615149556e-06,8.054083395639584e-08
1.7742973806176585e-06,5.4343189714245455e-08
1.7483699548590673e-06,1.9577374504630522e-07
1.8049571696099775e-06,8.536397497967603e-07
1.731303939713295e-06,1.1662522154438194e-06
1.8457070504255787e-06,9.17781097026212e-07
1.7344330962136686e-06,7.360786752315107e-08
1.9116832119938937e-06,1.3258447814716116e-08
1.6072561913560434e-06,5.881320552968343e-07
1.746910826780379e-06,6.73663577890693e-07
1.7295768932105678e-06,1.5008524526516947e-06
1.7381905437379904e-06,3.2454328070343763e-07
1.7651775339530217e-06,7.12610548058971e-08
1.759122159070851e-06,8.447793902253882e-08
1.7542943759032426e-06,1.4456870845928431e-08
1.6176671881882024e-06,1.7839146561679324e-07
1.8070065279071438e-06,2.0680231597604384e-06
1.7274253809617334e-06,2.7958085978752935e-06
1.7040622669542909e-06,1.8785101162090238e-07
1.6400256854772976e-06,8.587707635570041e-08
1.4114191162661882e-06,8.921621821476341e-07
1.6068453526893715e-06,1.0831542563020473e-08
1.5430258074744075e-06,8.912244682202678e-07
1.5657324776775284e-06,1.0566104547251598e-07
1.3938047057704257e-06,2.0544267734597573e-07
1.5466673899229732e-06,5.288969956988391e-08
