train_loss,valid_loss
3.99915028566132e-06,1.760082179874492e-05
4.015614715956417e-06,3.072793389947037e-06
3.962618674739815e-06,1.0735484832669803e-07
3.794733120730598e-06,1.7126824187774523e-06
3.851220518769575e-06,1.3869864327716641e-05
3.7220863845599676e-06,4.740565287890301e-06
3.893189427337044e-06,2.0272547757485882e-06
3.832003202514519e-06,5.467961247632048e-07
3.6044503912819435e-06,1.0286475554342663e-07
3.781132219237785e-06,6.040581567795016e-05
3.544797053594569e-06,1.0180586444221262e-06
3.5313342098845623e-06,1.2227880844875472e-06
3.688869685627575e-06,9.080697960447044e-08
3.5098734519010575e-06,6.264942879852242e-08
3.347825606023965e-06,1.9486618004521004e-06
3.530209282407289e-06,4.752012500102865e-06
3.4894850165490727e-06,7.487268054016265e-07
3.442059067479401e-06,5.252506510866321e-07
3.431121418488677e-06,9.201801373516597e-07
3.301253032363623e-06,5.823160253930837e-06
3.3920667746713207e-06,2.1762683041743004e-06
3.1690640902960844e-06,1.09966183014573e-06
3.609333089084051e-06,7.724591118479414e-08
3.0864076551911996e-06,1.3698069569727523e-07
3.239268413847185e-06,7.500354370373922e-06
3.259801932784967e-06,5.257605014890032e-08
3.1009917031515974e-06,8.297275216288351e-08
3.152527476089517e-06,3.503078723345728e-06
3.0664890387062845e-06,4.092208840612936e-08
3.079124574226929e-06,2.7956838594400323e-05
3.0031268151181696e-06,5.683406586225222e-06
3.2208087104152128e-06,2.9678126233193326e-06
2.915146827153118e-06,4.316078446815179e-06
2.9239223972789812e-06,5.765637339815536e-08
3.1325025698578203e-06,1.089875268068378e-06
2.9721673400028217e-06,1.1453011941663742e-07
2.7390471383265927e-06,9.842853988326774e-07
2.9093007472890048e-06,1.2704882737277028e-07
2.84066133020436e-06,1.0760082947172122e-07
2.9533988042013942e-06,6.388168289580184e-08
2.86684366025914e-06,1.950127174647302e-07
2.810366284624403e-06,3.4107636708237505e-07
2.751183292203526e-06,1.0230825988401192e-06
2.725990588700711e-06,1.2407998773899938e-06
2.763189395896385e-06,1.4604537949859756e-07
2.874580317827243e-06,3.1736824688171813e-07
2.5864696439801567e-06,3.0067631596466525e-06
2.729945015696937e-06,4.2903158758160015e-08
2.7908457055247027e-06,5.5951498357368715e-08
2.767126146328754e-06,1.3649395715826054e-07
2.3496070985909038e-06,3.992362713082305e-06
2.7622967678970177e-06,1.5181102670491478e-06
2.5973956166969477e-06,5.079811928226263e-07
2.4888866338869774e-06,1.8249203383220448e-07
2.7496119485628395e-06,7.48478140849329e-08
2.488359056562217e-06,4.814686292957049e-06
2.5199034919130743e-06,3.0510054354332776e-07
2.518229811702592e-06,2.4106228821134817e-06
2.5878326251188354e-06,4.7128409238818375e-07
2.4968119776213864e-06,4.001490648117094e-08
2.3258120028941677e-06,6.199910081340931e-06
2.553041721629275e-06,4.256447869314191e-07
2.460101548366348e-06,3.5424481980347384e-06
2.551260616658624e-06,4.9063539864846464e-08
2.416864931614763e-06,6.230997359428632e-06
2.192146066998646e-06,1.3055012318242613e-06
2.4465173356399343e-06,2.367458532622398e-08
2.489990538081107e-06,1.8171981459242186e-07
2.2201711136024946e-06,1.4158299137003875e-06
2.3958146433898264e-06,3.5599267121142473e-06
2.3751559372736135e-06,3.7170595620258e-08
2.3012908612926707e-06,1.8710404102724473e-06
2.3101414940048434e-06,2.1327246885978942e-08
2.3858259825459527e-06,4.844124265825182e-07
2.193300337830332e-06,1.3268570849201447e-06
2.3305107652106473e-06,9.877548346897432e-06
2.244568878165391e-06,8.239818125351424e-08
1.9645054290544787e-06,1.7064296440366889e-06
2.1090040614377397e-06,1.42892864141686e-07
1.9848148368348955e-06,1.8384454888291656e-07
2.0404248548440287e-06,8.841176068623705e-07
2.043528919637557e-06,7.406623341239538e-08
2.09218838994758e-06,1.9973845288253264e-08
1.9179191859291696e-06,2.9453056287517636e-07
1.9783554126140265e-06,8.35144160373602e-07
1.9640021238186496e-06,2.1533256015876153e-06
2.1227479752667477e-06,9.150518652556154e-07
1.9923385329486604e-06,1.0596356059068058e-06
1.9452184942335765e-06,4.840503675950459e-06
1.8857664407685586e-06,1.969810999147133e-07
2.0103530611100005e-06,5.545179758579859e-07
1.9206942734752392e-06,1.2148489641428266e-06
1.9341643489106277e-06,1.5157689732101668e-06
1.9408248713276067e-06,3.1108445164136356e-07
1.917624130098261e-06,1.5038651620974026e-06
1.95840546785675e-06,5.766323557327269e-06
2.0053929162022164e-06,1.9921166428957804e-07
1.8129114058808681e-06,2.1699935608315475e-07
