train_loss,train_val_loss,train_grad_loss,valid_loss,valid_val_loss,valid_grad_loss
2.5240099859305096e-05,1.7526664170630587e-05,7.713435688674509e-06,1.896975656406236e-05,1.5029191977616089e-05,3.940564586446271e-06
2.487741850758691e-05,1.7104278096424728e-05,7.77314041116218e-06,2.3575637831527277e-05,2.0368795809918085e-05,3.206842021609191e-06
2.471779488591134e-05,1.698781567053326e-05,7.72997921537808e-06,2.0459007916845925e-05,1.5030054702947382e-05,5.428953213898542e-06
2.4016526147678027e-05,1.6708780975507883e-05,7.307745172170144e-06,1.544639226996575e-05,1.4887693331790312e-05,5.586989381754393e-07
2.3898602897437134e-05,1.644490447458035e-05,7.453698422856784e-06,1.4513178972507982e-05,1.4124977433433135e-05,3.8820153907484687e-07
2.3332378150234948e-05,1.6018353449665787e-05,7.314024700569159e-06,1.8176322849224866e-05,1.3890417288348545e-05,4.2859055608763206e-06
2.2935071670925332e-05,1.5423456307811043e-05,7.511615363114288e-06,2.2675178150529975e-05,1.3357901639634898e-05,9.317276510895075e-06
2.2420428858769507e-05,1.504589294733402e-05,7.3745359114354865e-06,1.8035967062375372e-05,1.7079488172991357e-05,9.56478889384016e-07
2.2028463302816213e-05,1.4564733726001578e-05,7.463729576814634e-06,1.2929627520982952e-05,1.1822840857106106e-05,1.1067866638768463e-06
2.132428844486943e-05,1.3837163646288294e-05,7.487124798581135e-06,2.1174115777102997e-05,1.6660712551674806e-05,4.513403225428192e-06
2.0789181633775417e-05,1.3392012164695188e-05,7.39716946908023e-06,1.2110929777130271e-05,1.1783855551523932e-05,3.270742256063386e-07
2.0169595615228294e-05,1.2766301385272527e-05,7.403294229955767e-06,1.1791586216046804e-05,1.0504327351615454e-05,1.287258864431351e-06
1.9898192514529002e-05,1.242314741757582e-05,7.475045096953181e-06,3.1877461139811205e-05,1.0424164463377869e-05,2.1453296676433335e-05
1.9723641199796777e-05,1.1928432454684904e-05,7.795208745111875e-06,2.534877050105327e-05,1.0616013381028703e-05,1.4732757120024568e-05
